Nº DE INSCRICIÓN; TIPO ENTIDADE; NOME; ENDEREZO; CÓD. POSTAL; CÓDIGO DE PROVINCIA; PROVINCIA; CÓDIGO DE CONCELLO; CONCELLO; TELÉFONO; DATA DE ALTA; TIPO_MODALIDADE; MODALIDADE; TIPO_ESPECIALIDADE; ESPECIALIDADE
X-14733;SECCIÓN DEPORTIVA;CLUB ENGANCHES DE GALICIA;LUGAR DE MACENDA,3;15318;15;A CORUÑA;15001;ABEGONDO;649092927;12/07/2023;28;HÍPICA;98;TURISMO;
X-14733;SECCIÓN DEPORTIVA;CLUB ENGANCHES DE GALICIA;LUGAR DE MACENDA,3;15318;15;A CORUÑA;15001;ABEGONDO;649092927;12/07/2023;28;HÍPICA;171;DOMA;
C-10376;CLUBE DEPORTIVO;CLUB HIPICO LAS COLUMNAS;CUBELO, Nº 10-B PARROQUIA DE CRENDES;15318;15;A CORUÑA;15001;ABEGONDO;649013954;12/02/2010;28;HÍPICA;0;;
C-10307;CLUBE DEPORTIVO;CLUB PATINAXE ABEGONDO;R/ VILAR, Nº 56;15318;15;A CORUÑA;15001;ABEGONDO;659012510;12/11/2009;37;PATINAXE;0;;
C-08919;CLUBE DEPORTIVO;CLUB SAN TIRSO CERVECERIA A BOA ESTRELLA;POUSADA, 1;15318;15;A CORUÑA;15001;ABEGONDO;981 673084;02/06/2006;24;FÚTBOL;0;;
C-08919;CLUBE DEPORTIVO;CLUB SAN TIRSO CERVECERIA A BOA ESTRELLA;POUSADA, 1;15318;15;A CORUÑA;15001;ABEGONDO;981 673084;02/06/2006;25;FÚTBOL SALA;0;;
C-12743;CLUBE DEPORTIVO;CR SPORT HORSE;LUGAR ORTO DE ARRIBA, 25;15318;15;A CORUÑA;15001;ABEGONDO;659012510;16/09/2016;28;HÍPICA;0;;
C-12246;CLUBE DEPORTIVO;ESCUDERÍA MRT;LUGAR DE CANCELADA, 23 ,C;15318;15;A CORUÑA;15001;ABEGONDO;609935209;31/03/2015;3;AUTOMOBILISMO;116;RALLIES;
C-11129;CLUBE DEPORTIVO;JUDO SPORT ABEGONDO;R/ SAN MARCOS, S/N;15318;15;A CORUÑA;15001;ABEGONDO;630144545;08/02/2012;29;JUDO E D.A.;176;DEFENSA PERSONAL;
C-11129;CLUBE DEPORTIVO;JUDO SPORT ABEGONDO;R/ SAN MARCOS, S/N;15318;15;A CORUÑA;15001;ABEGONDO;630144545;08/02/2012;29;JUDO E D.A.;178;JIU-JITSU;
C-11512;CLUBE DEPORTIVO;PEÑA DE CRENDES;R/ VILAR, Nº 144;15318;15;A CORUÑA;15001;ABEGONDO;617401165;25/02/2013;24;FÚTBOL;0;;
C-10500;CLUBE DEPORTIVO;PEÑA VIOS;POCEIRA-VIOS, 6;15318;15;A CORUÑA;15001;ABEGONDO;620855677;15/06/2010;24;FÚTBOL;0;;
C-12673;CLUBE DEPORTIVO;XUVENTUDE DE CRENDES CLUBE DE FÚTBOL;RÚA VILAR, 114;15318;15;A CORUÑA;15001;ABEGONDO;630960455;20/06/2016;24;FÚTBOL;0;;
C-12792;CLUBE DEPORTIVO;04S RUTAS-BIKE;RUA XESTEIRA, 2 - LOCAL 3 ORTOÑO;15220;15;A CORUÑA;15002;AMES;630992220;15/11/2016;13;CICLISMO;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;5;BALONCESTO;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;6;BALONMÁN;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;24;FÚTBOL;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;25;FÚTBOL SALA;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;37;PATINAXE;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;47;TAEKWONDO;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;48;TENIS;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;49;TENIS DE MESA;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;54;VOLEIBOL;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;55;XADREZ;0;;
C-01741;CLUBE DEPORTIVO;A. D. COLEGIO ALCA;VIDUIDO DE ARRIBA;15895;15;A CORUÑA;15002;AMES;981-531103;28/12/1988;56;XIMNASIA;240;XIMANSIA RITMICA;
